pop,den,geometry,area
3,0.48,"POLYGON((20.9840826378144 55.2976987004121, 20.9880137834174 55.2977957890551, 20.9878437169507 55.3000387290121, 20.9839123502027 55.2999416322962, 20.9840826378144 55.2976987004121))",62500.0
6,0.9600000037499996,"POLYGON((20.9868228182109 55.3134963439906, 20.9907555363027 55.313593362684, 20.9905855245124 55.3158363024549, 20.9866525850553 55.3157392756926, 20.9868228182109 55.3134963439906))",62499.9997558594
47,7.52,"POLYGON((20.9912654289188 55.3068645363004, 20.9951975068815 55.306961404343, 20.9950277877414 55.3092043557049, 20.9910954885014 55.3091074796067, 20.9912654289188 55.3068645363004))",62500.0
22,3.52,"POLYGON((20.9955368739129 55.3024754980867, 20.9994685331552 55.3025722235902, 20.999299082733 55.3048151853504, 20.9953672022704 55.3047184518035, 20.9955368739129 55.3024754980867))",62500.0
103,16.480000064374995,"POLYGON((20.9951975068815 55.306961404343, 20.9991296085951 55.3070581459341, 20.998960110737 55.3093011053413, 20.9950277877414 55.3092043557049, 20.9951975068815 55.306961404343))",62499.9997558594
325,52.00000020312498,"POLYGON((20.9996379598662 55.3003292606534, 21.0035694216258 55.3004258516929, 21.0034002161087 55.3026688226617, 20.9994685331552 55.3025722235902, 20.9996379598662 55.3003292606534))",62499.9997558594
686,109.75999957125005,"POLYGON((20.9994685331552 55.3025722235902, 21.0034002161087 55.3026688226617, 21.0032309869113 55.3049117924548, 20.999299082733 55.3048151853504, 20.9994685331552 55.3025722235902))",62500.0002441406
28,4.48,"POLYGON((20.9991296085951 55.3070581459341, 21.0030617340291 55.3071547610723, 21.0028924574574 55.3093977285142, 20.998960110737 55.3093011053413, 20.9991296085951 55.3070581459341))",62500.0
115,18.4,"POLYGON((21.0035694216258 55.3004258516929, 21.0075009070611 55.3005223163091, 21.0073319227426 55.3027652952994, 21.0034002161087 55.3026688226617, 21.0035694216258 55.3004258516929))",62500.0
328,52.48,"POLYGON((21.0034002161087 55.3026688226617, 21.0073319227426 55.3027652952994, 21.0071629147745 55.3050082731149, 21.0032309869113 55.3049117924548, 21.0034002161087 55.3026688226617))",62500.0
46,7.36,"POLYGON((21.0032309869113 55.3049117924548, 21.0071629147745 55.3050082731149, 21.0069938831524 55.3072512497558, 21.0030617340291 55.3071547610723, 21.0032309869113 55.3049117924548))",62500.0
103,16.48,"POLYGON((21.0030617340291 55.3071547610723, 21.0069938831524 55.3072512497558, 21.0068248278717 55.3094942252219, 21.0028924574574 55.3093977285142, 21.0030617340291 55.3071547610723))",62500.0
13,2.0800000081249994,"POLYGON((21.0073319227426 55.3027652952994, 21.011263653026 55.3028616415017, 21.0110948662918 55.3051046273292, 21.0071629147745 55.3050082731149, 21.0073319227426 55.3027652952994))",62499.9997558594
12,1.92,"POLYGON((21.0071629147745 55.3050082731149, 21.0110948662918 55.3051046273292, 21.0109260559343 55.307347611983, 21.0069938831524 55.3072512497558, 21.0071629147745 55.3050082731149))",62500.0
58,9.279999963750004,"POLYGON((21.0069938831524 55.3072512497558, 21.0109260559343 55.307347611983, 21.0107572219491 55.3095905954628, 21.0068248278717 55.3094942252219, 21.0069938831524 55.3072512497558))",62500.0002441406
14,2.24,"POLYGON((21.0068248278717 55.3094942252219, 21.0107572219491 55.3095905954628, 21.0105883643316 55.3118335777688, 21.0066557489279 55.3117371995132, 21.0068248278717 55.3094942252219))",62500.0
4,0.64,"POLYGON((21.0066557489279 55.3117371995132, 21.0105883643316 55.3118335777688, 21.0104194830774 55.3140765589008, 21.0064866463165 55.3139801726296, 21.0066557489279 55.3117371995132))",62500.0
38,6.08,"POLYGON((21.0107572219491 55.3095905954628, 21.0146896396587 55.3096868392353, 21.0145210033721 55.3119298295454, 21.0105883643316 55.3118335777688, 21.0107572219491 55.3095905954628))",62500.0
55,8.799999965625004,"POLYGON((21.0105883643316 55.3118335777688, 21.0145210033721 55.3119298295454, 21.0143523434795 55.3141728186825, 21.0104194830774 55.3140765589008, 21.0105883643316 55.3118335777688))",62500.0002441406
6,0.96,"POLYGON((21.0104194830774 55.3140765589008, 21.0143523434795 55.3141728186825, 21.0141836599766 55.3164158066464, 21.0102505781819 55.3163195388587, 21.0104194830774 55.3140765589008))",62500.0
